"n","rho","method","variable","type_I_error"
500,0.7,"LASSO lambda.1se","X20",0.0079
500,0.7,"LASSO lambda.1se","X6",0.0075
500,0.7,"LASSO lambda.1se","X7",0.0083
500,0.7,"LASSO lambda.1se","X8",0.0078
500,0.7,"LASSO lambda.1se","X9",0.01
500,0.7,"LASSO lambda.min","X10",0.0364
500,0.7,"LASSO lambda.min","X11",0.0355
500,0.7,"LASSO lambda.min","X12",0.0365
500,0.7,"LASSO lambda.min","X13",0.0384
500,0.7,"LASSO lambda.min","X14",0.0355
500,0.7,"LASSO lambda.min","X15",0.0414
500,0.7,"LASSO lambda.min","X16",0.0349
500,0.7,"LASSO lambda.min","X17",0.0361
500,0.7,"LASSO lambda.min","X18",0.0378
500,0.7,"LASSO lambda.min","X19",0.0363
500,0.7,"LASSO lambda.min","X20",0.0359
500,0.7,"LASSO lambda.min","X6",0.0362
500,0.7,"LASSO lambda.min","X7",0.0359
500,0.7,"LASSO lambda.min","X8",0.0366
500,0.7,"LASSO lambda.min","X9",0.0379
